265,general,What time did the man go to the dentist?,Tooth hurt-y.
176,general,What did the judge say to the dentist?,"Do you swear to pull the tooth, the whole tooth and nothing but the tooth?"
404,general,Why didn't the skeleton go for prom?,Because it had nobody.
197,general,What do you call a cow on a trampoline?,A milk shake!
167,general,What did the 0 say to the 8?,Nice belt.
25,programming,How many programmers does it take to change a lightbulb?,None that's a hardware problem
123,general,How do you fix a broken pizza?,With tomato paste.
96,general,Did you hear about the submarine industry?,It really took a dive...
293,general,Where do you learn to make banana splits?,At sundae school.
132,general,How do you tell the difference between a crocodile and an alligator?,You will see one later and one in a while.
85,general,Did you hear about the bread factory burning down?,They say the business is toast.
346,general,Why do bananas have to put on sunscreen before they go to the beach?,Because they might peel!
126,general,How do you get two whales in a car?,Start in England and drive West.
385,dad,Why do fathers take an extra pair of socks when they go golfing?,In case they get a hole in one!
142,general,How many optometrists does it take to change a light bulb?,1 or 2? 1... or 2?
24,programming,"A SQL query walks into a bar, walks up to two tables and asks...",'Can I join you?'
271,general,What's brown and sticky?,A stick.
327,general,Why did the cookie cry?,It was feeling crumby.
255,general,What kind of award did the dentist receive?,A little plaque.
322,general,Why did the burglar hang his mugshot on the wall?,To prove that he was framed!
262,general,What kind of tree fits in your hand?,A palm tree!
